"energy","tempo","danceability","playlist_genre","loudness","liveness","valence","track_artist","time_signature","speechiness","track_name","instrumentalness","key","acousticness","playlist_subgenre","song_id"
"592","157969","521","pop","-7777","122","535","Lady Gaga, Bruno Mars","3","304","Die With A Smile","0","6","308","mainstream","1"
"507","104978","747","pop","-10171","117","438","Billie Eilish","4","358","BIRDS OF A FEATHER","608","2","2","mainstream","2"
"808","108548","554","pop","-4169","159","372","Gracie Abrams","4","368","That’s So True","0","1","214","mainstream","3"
"91","112966","67","pop","-407","304","786","Sabrina Carpenter","4","634","Taste","0","0","939","mainstream","4"
"783","149027","777","pop","-4477","355","939","ROSÉ, Bruno Mars","4","26","APT.","0","0","283","mainstream","5"
"582","116712","7","pop","-596","881","785","Chappell Roan","4","356","Good Luck, Babe!","0","11","502","mainstream","6"
"561","150069","669","pop","-6538","954","841","Addison Rae","4","411","Diet Pepsi","962","10","495","mainstream","7"
"247","148101","467","pop","-12002","17","126","Billie Eilish","4","431","WILDFLOWER","271","6","612","mainstream","8"
"416","94926","492","pop","-10439","203","297","Gigi Perez","4","254","Sailor Song","0,00861","11","686","mainstream","9"
"722","119973","769","pop","-5485","111","57","The Weeknd, Playboi Carti","4","507","Timeless (with Playboi Carti)","0,000256","11","584","mainstream","10"
"667","130019","776","pop","-6622","761","618","Charli xcx, Billie Eilish","4","983","Guess featuring billie eilish","3","7","146","mainstream","11"
"586","107071","669","pop","-6073","104","579","Sabrina Carpenter","4","54","Please Please Please","0","9","274","mainstream","12"
"806","104032","608","pop","-3443","191","587","Tate McRae","4","486","2 hands","0","1","121","mainstream","13"
"709","81012","722","pop","-495","804","604","Shaboozey","4","273","A Bar Song (Tipsy)","0","9","633","mainstream","14"
"757","139982","742","pop","-4981","305","957","Chappell Roan","4","421","HOT TO GO!","0","6","187","mainstream","15"
"917","100987","562","pop","-2768","488","501","Lady Gaga","4","117","Disease","0","11","513","mainstream","16"
"787","109939","734","pop","-3951","312","672","LISA","4","116","Moonlit Floor (Kiss Me)","0","5","126","mainstream","17"
"843","122064","619","pop","-5348","164","746","Morgan Wallen","4","284","Love Somebody","118","5","948","mainstream","18"
"406","11594","53","pop","-7507","133","338","Gracie Abrams","3","33","I Love You, I'm Sorry","0","10","656","mainstream","19"
"782","119992","727","pop","-8529","225","655","Adam Port, Stryv, Keinemusik, Orso, Malachiii","4","42","Move","336","8","563","mainstream","20"
"812","8009","505","pop","-3986","444","664","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","4","461","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","0","1","285","mainstream","21"
"76","103969","701","pop","-5478","185","69","Sabrina Carpenter","4","285","Espresso","0,00654","0","107","mainstream","22"
"725","116988","894","pop","-4984","815","838","JENNIE","4","432","Mantra","0,00115","10","434","mainstream","23"
"563","105008","833","pop","-5593","139","343","Rauw Alejandro, Bad Bunny","4","204","Qué Pasaría...","0,00127","4","528","mainstream","24"
"628","11998","757","pop","-6715","221","321","Don Toliver","4","101","NEW DROP","209","4","189","mainstream","25"
"855","127986","638","pop","-486","245","731","Post Malone, Morgan Wallen","4","264","I Had Some Help (Feat. Morgan Wallen)","0","7","757","mainstream","26"
"62","117038","741","pop","-5505","398","934","Hozier","4","412","Too Sweet","809","10","295","mainstream","27"
"339","97989","705","pop","-10612","12","457","The Marías","4","278","No One Noticed","814","7","552","mainstream","28"
"651","112648","694","pop","-6968","787","471","Oscar Maydon, Fuerza Regida","3","784","Tu Boda","0,00136","6","496","mainstream","29"
"601","123994","635","pop","-6129","11","332","Myles Smith","4","295","Stargazing","0","1","246","mainstream","30"
"691","167029","836","pop","-4222","282","703","GloRilla, Sexyy Red","4","363","WHATCHU KNO ABOUT ME (with Sexyy Red)","0","1","586","mainstream","31"
"646","115842","645","pop","-8334","74","295","Ariana Grande","4","427","we can't be friends (wait for your love)","0,00304","5","615","mainstream","32"
"471","105029","472","pop","-5692","14","219","Benson Boone","3","603","Beautiful Things","0","10","151","mainstream","33"
"709","194055","744","pop","-5778","847","712","Myke Towers, benny blanco","4","284","DEGENERE 👑 (feat. benny blanco)","0","6","501","mainstream","34"
"904","167033","739","pop","-2655","948","788","KATSEYE","4","442","Touch","0,00103","5","549","mainstream","35"
"604","15992","561","pop","-4409","104","242","Teddy Swims","3","337","Lose Control","0,00019","9","199","mainstream","36"
"668","90969","646","pop","-5203","212","64","Mark Ambor","4","282","Belong Together","0","2","491","mainstream","37"
"668","128027","924","pop","-6795","678","787","KAROL G","4","469","Si Antes Te Hubiera Conocido","594","11","446","mainstream","38"
"454","159982","689","pop","-7643","707","912","Djo","4","584","End of Beginning","259","2","351","mainstream","39"
